cik,name,featured
867926,INVESTORS ASSET MANAGEMENT OF GEORGIA INC /GA/ /ADV,0
869304,NORTHSTAR ASSET MANAGEMENT INC,0
869353,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC",0
869589,NISSAY ASSET MANAGEMENT CORP /JAPAN,0
872162,BLACKHILL CAPITAL INC,0
872359,LINCOLN CAPITAL CORP,0
873759,TANDEM CAPITAL MANAGEMENT CORP /ADV,0
874791,CAMPBELL NEWMAN ASSET MANAGEMENT INC,0
877338,WS MANAGEMENT LLLP,0
883677,PANAGORA ASSET MANAGEMENT INC,0
883803,"GRIFFIN ASSET MANAGEMENT, INC.",0
883961,TOCQUEVILLE ASSET MANAGEMENT L.P.,0
883965,"WEITZ INVESTMENT MANAGEMENT, INC.",0
884300,PERKINS CAPITAL MANAGEMENT INC,0
884414,"JACOBS LEVY EQUITY MANAGEMENT, INC",0
884541,"TRILLIUM ASSET MANAGEMENT, LLC",0
884566,FENIMORE ASSET MANAGEMENT INC,0
884589,KENNEDY CAPITAL MANAGEMENT LLC,0
885062,BROWN CAPITAL MANAGEMENT LLC,0
885415,"FOLGER NOLAN FLEMING DOUGLAS CAPITAL MANAGEMENT, INC",0
887762,"BARINGTON COMPANIES MANAGEMENT, LLC",0
893738,DELTA CAPITAL MANAGEMENT LLC,0
894119,Anchor Capital Management Group Inc,0
895213,"Capital International, Inc./CA/",0
897070,ASHFORD CAPITAL MANAGEMENT INC,0
897378,CONGRESS ASSET MANAGEMENT CO,0
897599,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,0
898358,KORNITZER CAPITAL MANAGEMENT INC /KS,0
900169,SPEECE THORSON CAPITAL GROUP INC,0
900529,ARDSLEY ADVISORY PARTNERS LP,0
900973,"Winslow Capital Management, LLC",0
900974,"Wilmington Savings Fund Society, FSB",0
902219,WELLINGTON MANAGEMENT GROUP LLP,0
903944,CAMDEN ASSET MANAGEMENT L P /CA,0
904793,SANTA MONICA PARTNERS LP,0
905567,YACKTMAN ASSET MANAGEMENT LP,0
905790,Onex Canada Asset Management Inc.,0
906304,ROYCE & ASSOCIATES LP,0
906396,MOSELEY INVESTMENT MANAGEMENT INC,0
908758,"American Beacon Advisors, Inc.",0
911270,GLYNN CAPITAL MANAGEMENT LLC,0
911274,"BEESE FULMER INVESTMENT MANAGEMENT, INC.",0
914973,HANOVER ADVISORS INC,0
916542,ACADIAN ASSET MANAGEMENT LLC,0
917579,KESTREL INVESTMENT MANAGEMENT CORP,0
918504,BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL,0
919185,HIGHBRIDGE CAPITAL MANAGEMENT LLC,0
919538,CORBYN INVESTMENT MANAGEMENT INC/MD,0
921531,GLOBEFLEX CAPITAL L P,0
921739,NOMURA ASSET MANAGEMENT INTERNATIONAL INC.,0
922372,DIVERSIFIED MANAGEMENT INC,0
922439,HARTFORD INVESTMENT MANAGEMENT CO,0
923116,GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,0
924181,"LEAVELL INVESTMENT MANAGEMENT, INC.",0
926833,WISCONSIN CAPITAL MANAGEMENT LLC,0
926834,AVITY INVESTMENT MANAGEMENT INC.,0
928196,HARDING LOEVNER LP,0
